bucket,level,model,quantile,n,mape,rmse,smape,pinball,coverage_rate
h=1,segment_3,lightgbm,0.75,102,0.053184157226421704,41.38792495196314,0.0509852016030955,8.904956585190183,
h=1,segment_3,lightgbm,0.95,102,0.10389383336230917,75.35313885827225,0.09659154802367133,3.338747373046403,
h=1,segment_3,lightgbm_coverage,50%,102,,,,,0.27450980392156865
h=1,segment_3,lightgbm_coverage,90%,102,,,,,0.6666666666666666
h=1,segment_3,persistence,,102,0.04717521004750795,38.491270774987086,0.04700870847702503,,
h=24,portfolio,lightgbm,0.05,102,0.029811380857546983,103.42527679571434,0.029902195119595503,30.94879345657441,
h=24,portfolio,lightgbm,0.25,102,0.032888184698314164,100.93016548844365,0.032156624566190624,50.48069205504671,
h=24,portfolio,lightgbm,0.5,102,0.04016169498588347,116.88639686242021,0.038919136282481316,46.096579609956756,
h=24,portfolio,lightgbm,0.75,102,0.0608996853114508,167.51500608721295,0.05813790070657263,35.1474670563858,
h=24,portfolio,lightgbm,0.95,102,0.13504894094347836,343.73703727500646,0.12445089102335195,15.621730566177792,
h=24,portfolio,lightgbm_coverage,50%,102,,,,,0.17647058823529413
h=24,portfolio,lightgbm_coverage,90%,102,,,,,0.5392156862745098
h=24,portfolio,persistence,,102,0.04969761437568322,179.01505807180658,0.04950824558544493,,
h=24,portfolio,sarimax,,102,0.12093015376931156,370.9969733791723,0.1264288224397876,,
h=24,segment_0,lightgbm,0.05,102,0.08055174614032935,50.94568460442462,0.08343032505879482,7.22030897428586,
h=24,segment_0,lightgbm,0.25,102,0.08817717112308217,35.65037989689171,0.08374636707439417,16.483980864171585,
h=24,segment_0,lightgbm,0.5,102,0.1043582522570129,39.11694863550308,0.09730620602554742,15.398281056222412,
h=24,segment_0,lightgbm,0.75,102,0.13972986528353673,50.432000595995014,0.12574313361868247,10.863923308036515,
h=24,segment_0,lightgbm,0.95,102,0.21166662724147456,68.07499468920673,0.18246293284693005,3.5533830956189303,
h=24,segment_0,lightgbm_coverage,50%,102,,,,,0.14705882352941177
h=24,segment_0,lightgbm_coverage,90%,102,,,,,0.5882352941176471
h=24,segment_0,persistence,,102,0.10566424967836902,55.941860545780315,0.10308585323086959,,
h=24,segment_1,lightgbm,0.05,102,0.039852855738520106,37.88240506596811,0.04068629730600695,8.57450618436308,
h=24,segment_1,lightgbm,0.25,102,0.04150369272790098,33.848378669051726,0.0408184050913088,15.492156697009058,
h=24,segment_1,lightgbm,0.5,102,0.048001083942186384,37.067156270273465,0.04683278352972728,14.785138973379489,
h=24,segment_1,lightgbm,0.75,102,0.07807886653216382,60.11735665120479,0.07342833225466588,12.695069691635684,
h=24,segment_1,lightgbm,0.95,102,0.20479322434591146,139.9157155145891,0.1818827738507991,6.5210870230333216,
h=24,segment_1,lightgbm_coverage,50%,102,,,,,0.2549019607843137
h=24,segment_1,lightgbm_coverage,90%,102,,,,,0.5490196078431373
h=24,segment_1,persistence,,102,0.050846274110950475,49.81595069435342,0.05078353513158596,,
h=24,segment_2,lightgbm,0.05,102,0.03404626865514992,31.07653504368248,0.03459966088903046,5.4494582046601066,
h=24,segment_2,lightgbm,0.25,102,0.030557669085549286,25.68257865771004,0.030363458292667615,10.692227538393634,
h=24,segment_2,lightgbm,0.5,102,0.038467592110893775,32.90105389844748,0.03732752927890808,12.404963705953477,
h=24,segment_2,lightgbm,0.75,102,0.05999940851349031,49.540762517908895,0.05744743403132918,10.494582107652288,
h=24,segment_2,lightgbm,0.95,102,0.12972510259288755,91.6814905285966,0.12052017051173589,4.243511910850474,
h=24,segment_2,lightgbm_coverage,50%,102,,,,,0.38235294117647056
h=24,segment_2,lightgbm_coverage,90%,102,,,,,0.7352941176470589
h=24,segment_2,persistence,,102,0.045431586900501995,40.37277955024583,0.04524642955729137,,
h=24,segment_3,lightgbm,0.05,102,0.03203567186079202,38.5367400206965,0.03254635831079386,7.959873657333477,
h=24,segment_3,lightgbm,0.25,102,0.03369694075773913,32.41726877253506,0.033015778511073825,16.491013788128406,
h=24,segment_3,lightgbm,0.5,102,0.042582237231228816,40.25608440892691,0.041237049637971625,15.998141722580153,
h=24,segment_3,lightgbm,0.75,102,0.054618887361491696,50.937816827855976,0.05238197170611928,10.54889358036112,
