user_hash,segment,total_pre_kwh
03dca2d5386ae5887759cc7ec26ccc5ea30dd2bca759018032d40b20815bfdae,0,3093.1879999999996
03dca7e99c4df0ba59f7666e1aae559dd622bd1fd4cf1332bf23c7c506b913a8,0,4142.98
03df4a0d008bd24451bd992fa554fbd84e6fa932d457b66b434f04c1d575281b,0,4706.282499999999
03dfe28dca0b95c6b3539b9a02df5c6f613d4912c2ee37ac88f61846821e0f52,0,7671.482500000001
03ea044beabc554aee944775354ff4fa316d5d1e36840f8b5de83b5636e0500f,0,7561.8550000000005
03f1ec5e3a537fda6672bdb9ce82512820fcdb6138ebc478bde861fc3b08e04a,2,3402.357
03fab665f771b48d6214fdf5179fcbeda06d520d62c3a4d223532f71be6785f7,0,2801.1835
0404ede7d74c0013bd34835d0017aa706d0bb058719862801f451915d0c8c633,0,2120.0155
041c7eb9aec6486f974a4624d301f11086b71bddf15d4ec7ae2739202c71be39,0,4881.251
041e258c968f16148024ff78918d25850380fbd4110fbd9c9eefa7f698713580,2,5465.4235
041f88f93a6542b53d58e10790ecc6e928fed690f5d7932228421f8062db9e76,2,1238.5575000000001
042a27009ebae37bcd813f317fc42b6c14cff62c935fd3d2ab2f4b1000213d8d,0,2151.264
042fc449933d2649845f1d29220a2b72e7189b0dd9e833d4ada37a5fcb4f7bf3,0,304.278
043164d9f3c17e43922900f66807a0b554a425bb43380219ff11adcdc360b8c9,0,2388.696
04388258969942e24450bae111a4cc7d8708c4546873020cfb00e30022a76f94,1,1357.5795
043cf93349c8789242680f22dd1659b194ec9cee6ef52e5e7971f071a41cdec6,2,17086.445
0445eea6e00590761a328441b19fb51ee11486da86f0a6780e6156c6b01c2aa9,0,5157.3195
04473d6ec8c6f72a54383a30b4091d78b7d02a181829a3d6c669853eeb083027,0,1975.846
0456f44cfb5500e0ef233da6d21a48cff2002339a359b3669ea2e93710557ccb,2,4877.9635
04573705d73f54544124fdb73799f28cadcb3cbc4f191fcd96cefa4c9f21f36b,0,1897.5850000000003
0460090611f200fbe57b742a7abd1efd989de516bc98e6a652734a8070fa09dc,0,5475.4205
046012c84725c605dfece22febc86f0f9fbef90550b111f16a0fe226a6d7106b,0,2679.5865000000003
0463b1090718ee1bbc29151d05c65e634e6d876a484fe562fef3ec948e4bfcf5,2,9880.812999999998
046506da5fe4625b3bdded39349d1eb4b1910d025077be177a2bbb66b7bf28c2,0,3307.9535
04667cde752d28549113a52e8102f3dac1fb70bc44e38dd6cdb14bbd066413e1,2,6351.095
04670b947bf826f636c5e75d88c343d2b9cd7ffe9cb4302571dee583097732a7,0,4351.286
04674a1f331b6dd604fc3b10190d7012e7641a09f8fc1607aa3c3cee9acd3056,0,3716.8770000000004
046d528b953cc7f3828f6f2ea8ef0284765c49e7927ca6a2ec361853309fce1d,1,2431.7815
046dfd111f88e4af179871f6f7480504e8ed02b4e9057bf6cf295e1b3a3593a5,2,1149.3115000000003
04729d9551971cd5a17d0d665c17ab904757ba71d210bb4755ed1f8eea9da10a,2,5198.541499999999
047b2b0211028513d0ae7c134f2ba7e37a92bec728009c0dbb31b917c2f8e298,2,5547.4995
04830c0b37e7115eb96447fa5aebf1280a43b06f7c04097edfcf1cb7742f4666,2,10774.486
049505ddbc067f0f0ef0449f7c079ffaf5b7a94dbcd92555849feda537054ee8,2,54843.5625
049cffdef05a405fa4e3f3b6057d8812c39ef072aa7314a9a93a09f91625419b,0,1822.3865000000003
049f79c26065bac1c4db494716053cb8887a1caabd7355a93ebe7ccf4dbe56a3,0,2822.0035
04a26115a2aa295c751e1a1e2b81b28b40f478d8f7d9d7a8fdbe90fd4be65a06,2,2466.1885
04a4744ac0bf6ab2a57de4e24278706f612fb8f4ac0399492c7aa5fcaa4babe9,2,3661.7225
04a6d189107f2908aafeba2fafba115e0d867f456cdac1e7c43c931e2e362b33,0,2116.474
04b168379a4be75a1b078083f6c1d1fc5587d90d8612e3617604bad56199cda0,2,806.4125
04c84298eda022166c9e2bd9f657584a2d0ebd9ab971cd9ac06ddda16d0fbf46,0,2430.9390000000003
04cee6c7b0a312b2171072e7c10383937d394c2aac23ab8f334d3391f14461d5,0,9225.163499999999
04cf364fbadb0517a276c40141c89f7bf1270cb66d560a987c86606650cf2038,2,3849.4895000000006
04e24e7bf5b0bdbaaaf4d3529140ddbdba8c40fc3c43775b9913a20b8d0d1717,0,94.69
04e63e6208da09be59ed97ac0a4851903447a771d78508f35cc192068849dde9,2,2955.5635
04ef94776285809f0b456f03c48b20e461175c8ec314ac8e6e66b8f748191461,2,18986.4965
04ffc3374099ff8ebc8d51bd2056ca85e29d00290a6276f0964850b6532f53d1,0,1135.9675
0501515a9a3d3e063c38125c9f46ff4a12c359e65108e28d879ccd7e8bd64e38,1,2091.6435
050efc9a8c724c891d8b66e5de161fe40137822de7ca064f186d626b82c06ffe,0,1607.661
0512f0958b0107c6a13ad3e72700e4c724c7b46348e864dc92d368f45064136f,0,2996.4629999999997
05153a8ebc08dd399a201497f175b9ae880f2bdcbac085b4dc39c73e02fbb056,2,3377.566
05156a1cf4d110731658a93c4c42ea14336668521f3bc43fa3d7bd63c0f727db,0,14699.4405
0518cf9feddaaf82c856ddcee84b0a3107d0163acedb1d25461da8b752254662,2,6185.171
051c162077d1278699e05a191bb98cf71201e3062546d770affcddda1914447a,2,10102.33
051fa9da730497e59c0e822581b67264212a62512186d436973571f6da69de4a,0,340.97
0524459d2736fc25975714d212823dbbd60426a902aa87bc1fde761cdd308bbf,2,2758.9075000000003
0526ed4820b4443be1cc7a08a03af0d57e8bbd947adbe57a5163d0c9992c5aaa,2,6859.6705
05331b9ae7ac889e90eb2609ac2e17b180681c798d513299234504e7f9fe4c63,2,2840.982
0535af1fc8d7983cd1787d082dc2ad266abba63f0c8c2423868563285543015c,0,7304.096
053662f5fa9135c5d87888b234f2faecbb8713bde11250285d9bf0e33871ebe1,2,984.7275000000001
053bd2ca7075f4e22e24ba1159e1456be4d28677ea66e66bb14887b353b44220,0,690.234
056b80ff29fa502710cbfd31c88a822dd780c10d8cd03711dd0a67daf165ee3f,2,505.978
0572572099686565e485ef6ba78e589ce0de574ac35e6823aec57ef52c5e6f03,2,19585.5735
057f86636d0de4e1b1eeaa02635a3a19f3cb533945a27e1ff094ed6c80627f60,0,5766.3330000000005
057fb7d3a72e5aebfad4c89f800f270c407560db1581b583966d7c9ce3d969e4,2,4542.2835
05856fa1420ab661eacf4d846dd1c5c9b404d12ec492495d9577da5b3cff1cbe,0,6730.3235
0585b3d38ed41bd6215b637e3e3f73523335c3feefb0201dc9bb0c7e7d0f43ee,1,2569.7365
0585de894d6dc2b0697ccc330d31b813ccbbe289c4b2895c6df1f1e2022824f9,2,3006.6044999999995
0593ec95e428e36ff0fdfc52c339c03221bfd17606bfb016f0b5b816546257af,1,22667.101499999997
059645e2045d89b934973d05c4f8d13ba2dbb0283859c5f6dffcd1cb5d02b3c7,2,5311.8855
059820c355ae22e47eeb2255202ea1d4d5066115696cae26dadc14df6af20436,2,4429.1055
059ac9818c52e20ad8ba2d21bea223443eaaf18745071fde21f46c0d020c614b,2,1944.6650000000002
05a080dc4bb8f442464d9b3146484b2d9f251d12ef433ec156e1ca4bf7f54214,2,3562.8140000000003
05abfae4272d2fb38bbad83bd5ac439c555b1589e0b709fdc7e945f98f9616c8,0,3369.3665
05aec93448cc9d4c3967de69898f3a200bc225ce05cb7a1e470a3e8a1fae09dc,2,746.2009999999999
05b3803d307147fd6d140ce745d0e3ae62696f750ace5cfcfb3b52d589166788,0,7357.1935
05b7e1fb53a7376040f904de099c68d168771cf92a0df04828cae95c50c6e830,2,3290.2475
05bccbb6d4818d7500d21051b11057a076c01558f02856719896e5a6122c26eb,2,3417.655
05ce39fb671f744cac9c91e9153075bb738e20b9ea88d071566e2061b9a6ed0b,0,6078.031500000001
05e4e753ff324b11f347c81cb986fa6daadc71dae944680fc79a5f25fd42c63b,0,6925.337500000001
05e7e650e30e4b084a852ccdff8277c80946379d43ec1f27ec4378f8b0b58de5,0,8116.344999999999
05eedcd7a70c2a3301bf585bc0f80a2f811003c34ed5b5c4d943bce0c913cdbf,0,9717.7745
05f3a0fb1cb84f112de58f869cd16bcf85cc05ff48e06863deca75074e7a080d,1,1883.6000000000004
05f711edd178472646c255b63a0267851b4e71b024375069dca606b33bebe591,0,1000.9755
05f80bd352968559f5e25223c46d29b4a92acf62a3331c9b3cab3d73805ba81d,0,3880.3785000000003
