issue_time,level,quantile,iterations_used,n_train,n_valid,n_train_full,refit_full
2021-02-15,portfolio,0.75,532,8039,720,8759,True
2021-02-15,portfolio,0.95,141,8039,720,8759,True
2021-02-22,portfolio,0.05,341,8039,720,8759,True
2021-02-22,portfolio,0.25,616,8039,720,8759,True
2021-02-22,portfolio,0.5,2489,8039,720,8759,True
2021-02-22,portfolio,0.75,893,8039,720,8759,True
2021-02-22,portfolio,0.95,115,8039,720,8759,True
2021-03-01,portfolio,0.05,333,8039,720,8759,True
2021-03-01,portfolio,0.25,1911,8039,720,8759,True
2021-03-01,portfolio,0.5,2499,8039,720,8759,True
2021-03-01,portfolio,0.75,264,8039,720,8759,True
2021-03-01,portfolio,0.95,234,8039,720,8759,True
2021-03-08,portfolio,0.05,467,8039,720,8759,True
2021-03-08,portfolio,0.25,1303,8039,720,8759,True
2021-03-08,portfolio,0.5,1303,8039,720,8759,True
2021-03-08,portfolio,0.75,1433,8039,720,8759,True
2021-03-08,portfolio,0.95,221,8039,720,8759,True
2021-03-15,portfolio,0.05,113,8039,720,8759,True
2021-03-15,portfolio,0.25,200,8039,720,8759,True
2021-03-15,portfolio,0.5,621,8039,720,8759,True
2021-03-15,portfolio,0.75,605,8039,720,8759,True
2021-03-15,portfolio,0.95,126,8039,720,8759,True
2021-03-22,portfolio,0.05,141,8039,720,8759,True
2021-03-22,portfolio,0.25,170,8039,720,8759,True
2021-03-22,portfolio,0.5,780,8039,720,8759,True
2021-03-22,portfolio,0.75,302,8039,720,8759,True
2021-03-22,portfolio,0.95,151,8039,720,8759,True
2021-03-29,portfolio,0.05,164,8039,720,8759,True
2021-03-29,portfolio,0.25,119,8039,720,8759,True
2021-03-29,portfolio,0.5,1601,8039,720,8759,True
2021-03-29,portfolio,0.75,429,8039,720,8759,True
2021-03-29,portfolio,0.95,135,8039,720,8759,True
2021-04-05,portfolio,0.05,254,8039,720,8759,True
2021-04-05,portfolio,0.25,136,8039,720,8759,True
2021-04-05,portfolio,0.5,1573,8039,720,8759,True
2021-04-05,portfolio,0.75,548,8039,720,8759,True
2021-04-05,portfolio,0.95,185,8039,720,8759,True
2021-04-12,portfolio,0.05,140,8039,720,8759,True
2021-04-12,portfolio,0.25,135,8039,720,8759,True
2021-04-12,portfolio,0.5,934,8039,720,8759,True
2021-04-12,portfolio,0.75,1369,8039,720,8759,True
2021-04-12,portfolio,0.95,360,8039,720,8759,True
2021-04-19,portfolio,0.05,127,8039,720,8759,True
2021-04-19,portfolio,0.25,170,8039,720,8759,True
2021-04-19,portfolio,0.5,827,8039,720,8759,True
2021-04-19,portfolio,0.75,1327,8039,720,8759,True
2021-04-19,portfolio,0.95,811,8039,720,8759,True
2021-04-26,portfolio,0.05,192,8039,720,8759,True
2021-04-26,portfolio,0.25,190,8039,720,8759,True
2021-04-26,portfolio,0.5,1464,8039,720,8759,True
2021-04-26,portfolio,0.75,1566,8039,720,8759,True
2021-04-26,portfolio,0.95,353,8039,720,8759,True
