bucket,level,model,quantile,n,mape,rmse,smape,pinball,coverage_rate
h=24,portfolio,lightgbm_coverage,90%,102,,,,,0.3627450980392157
h=24,portfolio,persistence,,102,0.04969761437568322,179.01505807180658,0.04950824558544493,,
h=24,portfolio,sarimax,,102,0.12093015376931156,370.9969733791723,0.1264288224397876,,
h=72,portfolio,lightgbm,0.05,102,0.039892945978409,122.28061995761196,0.039045171769758455,70.58786071781921,
h=72,portfolio,lightgbm,0.25,102,0.04788439873165664,141.90965822703856,0.04642232529813818,78.67582620511486,
h=72,portfolio,lightgbm,0.5,102,0.05458426496959393,155.99267807573898,0.05259311002953152,64.086311558508,
h=72,portfolio,lightgbm,0.75,102,0.06590217856589874,185.73700635134202,0.06302307218971569,41.6623679539065,
h=72,portfolio,lightgbm,0.95,102,0.10601945479598356,285.6919715543216,0.09911043671604457,12.861262910229375,
h=72,portfolio,lightgbm_coverage,50%,102,,,,,0.0784313725490196
h=72,portfolio,lightgbm_coverage,90%,102,,,,,0.3235294117647059
h=72,portfolio,persistence,,102,0.043685139699981494,154.13703484054966,0.04346784715148001,,
h=72,portfolio,sarimax,,102,0.13687202704719045,410.26847998878384,0.15076509223006077,,
h=168,portfolio,lightgbm,0.05,101,0.05663343270342685,166.73485376410235,0.055771366683464524,84.72740359102555,
h=168,portfolio,lightgbm,0.25,101,0.06158039962143784,180.28695634977166,0.05927250644020553,97.21374699115538,
h=168,portfolio,lightgbm,0.5,101,0.06950223251156572,198.83756825826848,0.06614994469566979,80.10570453977876,
h=168,portfolio,lightgbm,0.75,101,0.08332761213444363,229.7937167007214,0.07879512495547407,51.52493819891093,
h=168,portfolio,lightgbm,0.95,101,0.15977806983275913,417.75049277959374,0.1450568470179265,18.600606675415015,
h=168,portfolio,lightgbm_coverage,50%,101,,,,,0.0891089108910891
h=168,portfolio,lightgbm_coverage,90%,101,,,,,0.42574257425742573
h=168,portfolio,persistence,,101,0.05247803195946325,178.3801159134331,0.05235248212668915,,
h=168,portfolio,sarimax,,101,0.16787544406275523,521.902472641122,0.18144888982996948,,
